iter	Passed	Remaining
0	8	4273
1	14	3575
2	21	3562
3	27	3410
4	33	3351
5	39	3276
6	45	3201
7	51	3164
8	57	3126
9	62	3085
10	68	3059
11	74	3032
12	80	3007
13	85	2977
14	91	2952
15	97	2936
16	102	2918
17	108	2901
18	113	2885
19	119	2874
20	125	2873
21	131	2863
22	137	2852
23	143	2839
24	148	2828
25	154	2820
26	160	2809
27	166	2800
28	171	2789
29	177	2780
30	183	2769
31	188	2761
32	194	2751
33	200	2752
34	207	2755
35	213	2745
36	218	2735
37	224	2726
38	229	2714
39	235	2704
40	240	2696
41	246	2687
42	252	2680
43	257	2673
44	263	2666
45	269	2663
46	275	2655
47	281	2646
48	286	2638
49	292	2630
50	297	2622
51	303	2614
52	309	2607
53	314	2599
54	320	2591
55	325	2582
56	331	2574
57	338	2577
58	344	2576
59	350	2568
60	355	2560
61	361	2553
62	367	2546
63	372	2540
64	378	2533
65	384	2525
66	389	2517
67	395	2509
68	400	2501
69	405	2493
70	411	2486
71	417	2480
72	422	2473
73	428	2466
74	434	2459
75	439	2451
76	445	2447
77	451	2442
78	457	2435
79	462	2428
80	469	2426
81	475	2421
82	480	2414
83	485	2405
84	491	2398
85	497	2392
86	502	2385
87	508	2378
88	513	2372
89	519	2365
90	524	2358
91	532	2360
92	537	2354
93	543	2347
94	549	2341
95	555	2335
96	560	2329
97	566	2322
98	571	2316
99	577	2310
100	583	2303
101	588	2297
102	594	2291
103	600	2285
104	605	2279
105	611	2273
106	617	2267
107	623	2261
108	628	2255
109	634	2249
110	640	2243
111	645	2237
112	651	2231
113	657	2226
114	663	2219
115	668	2213
116	674	2207
117	679	2200
118	685	2194
119	691	2188
120	696	2182
121	702	2176
122	707	2169
123	713	2163
124	719	2157
125	725	2153
126	732	2150
127	737	2144
128	743	2138
129	749	2132
130	755	2127
131	761	2121
132	767	2116
133	773	2112
134	779	2106
135	784	2100
136	790	2094
137	796	2088
138	801	2082
139	807	2076
140	813	2070
141	818	2064
142	824	2058
143	830	2052
144	835	2046
145	841	2040
146	847	2035
147	853	2029
148	858	2023
149	864	2018
150	870	2011
151	875	2005
152	881	1999
153	887	1993
154	892	1986
155	898	1981
156	904	1975
157	909	1969
158	915	1963
159	920	1956
160	926	1950
161	931	1943
162	937	1937
163	943	1932
164	950	1930
165	959	1930
166	965	1925
167	971	1920
168	977	1914
169	982	1908
170	988	1902
171	994	1896
172	1000	1891
173	1008	1889
174	1014	1883
175	1019	1877
176	1027	1875
177	1035	1872
178	1041	1867
179	1047	1861
180	1052	1855
181	1058	1849
182	1063	1842
183	1069	1836
184	1075	1830
185	1080	1824
186	1086	1818
187	1091	1811
188	1097	1805
189	1102	1799
190	1108	1792
191	1113	1786
192	1119	1780
193	1125	1774
194	1130	1768
195	1136	1763
196	1142	1756
197	1148	1750
198	1153	1744
199	1158	1738
200	1164	1732
201	1170	1726
202	1175	1720
203	1181	1713
204	1186	1707
205	1192	1701
206	1197	1695
207	1203	1689
208	1209	1683
209	1214	1677
210	1220	1671
211	1225	1665
212	1231	1659
213	1237	1654
214	1244	1649
215	1250	1643
216	1255	1637
217	1261	1631
218	1266	1625
219	1272	1619
220	1278	1613
221	1284	1608
222	1289	1602
223	1295	1596
224	1300	1590
225	1306	1583
226	1312	1577
227	1317	1571
228	1323	1565
229	1328	1560
230	1334	1554
231	1340	1548
232	1346	1542
233	1351	1536
234	1357	1530
235	1362	1524
236	1368	1518
237	1374	1512
238	1379	1506
239	1385	1500
240	1390	1494
241	1396	1488
242	1402	1482
243	1407	1476
244	1413	1471
245	1419	1465
246	1425	1459
247	1431	1454
248	1436	1448
249	1444	1444
250	1450	1438
251	1455	1432
252	1461	1426
253	1466	1420
254	1472	1414
255	1478	1409
256	1484	1403
257	1489	1397
258	1495	1391
259	1501	1385
260	1507	1380
261	1513	1374
262	1519	1369
263	1524	1363
264	1530	1357
265	1536	1351
266	1541	1345
267	1547	1339
268	1552	1333
269	1558	1327
270	1565	1323
271	1572	1318
272	1578	1312
273	1585	1307
274	1594	1304
275	1603	1301
276	1611	1297
277	1618	1292
278	1626	1288
279	1633	1283
280	1642	1280
281	1648	1274
282	1654	1268
283	1660	1262
284	1665	1256
285	1671	1250
286	1676	1244
287	1682	1238
288	1688	1232
289	1693	1226
290	1699	1220
291	1705	1214
292	1710	1208
293	1716	1202
294	1722	1196
295	1727	1190
296	1733	1184
297	1739	1178
298	1744	1173
299	1750	1167
300	1756	1161
301	1761	1154
302	1767	1148
303	1772	1142
304	1778	1136
305	1784	1131
306	1789	1125
307	1799	1121
308	1808	1117
309	1814	1112
310	1821	1106
311	1827	1100
312	1832	1094
313	1838	1088
314	1844	1083
315	1849	1077
316	1855	1071
317	1861	1065
318	1866	1059
319	1872	1053
320	1877	1047
321	1883	1041
322	1889	1035
323	1895	1029
324	1900	1023
325	1906	1017
326	1913	1012
327	1922	1007
328	1933	1004
329	1944	1001
330	1951	996
331	1958	990
332	1972	989
333	1987	987
334	1995	982
335	2002	977
336	2009	971
337	2016	966
338	2021	960
339	2027	954
340	2033	948
341	2040	942
342	2048	937
343	2056	932
344	2065	928
345	2073	922
346	2079	917
347	2085	910
348	2091	904
349	2097	898
350	2103	892
351	2108	886
352	2114	880
353	2119	874
354	2125	868
355	2131	862
356	2136	855
357	2142	849
358	2148	843
359	2153	837
360	2159	831
361	2165	825
362	2171	819
363	2177	813
364	2183	807
365	2189	801
366	2195	795
367	2201	789
368	2207	783
369	2212	777
370	2218	771
371	2223	765
372	2229	759
373	2235	752
374	2240	746
375	2246	740
376	2251	734
377	2257	728
378	2263	722
379	2268	716
380	2274	710
381	2280	704
382	2286	698
383	2292	692
384	2297	686
385	2303	680
386	2309	674
387	2314	668
388	2320	662
389	2325	656
390	2331	649
391	2336	643
392	2342	637
393	2348	631
394	2354	625
395	2359	619
396	2365	613
397	2371	607
398	2377	601
399	2382	595
400	2388	589
401	2394	583
402	2400	577
403	2405	571
404	2411	565
405	2416	559
406	2422	553
407	2428	547
408	2433	541
409	2439	535
410	2446	529
411	2452	523
412	2457	517
413	2463	511
414	2468	505
415	2474	499
416	2480	493
417	2485	487
418	2491	481
419	2496	475
420	2502	469
421	2508	463
422	2513	457
423	2519	451
424	2524	445
425	2529	439
426	2535	433
427	2540	427
428	2546	421
429	2551	415
430	2557	409
431	2562	403
432	2568	397
433	2573	391
434	2579	385
435	2584	379
436	2590	373
437	2595	367
438	2600	361
439	2606	355
440	2611	349
441	2617	343
442	2622	337
